xyzdmxyzcountry,xyzdmxyzrequestyear,xyzdmxyzinterpolation,xyzdcxyzwelfaretype,xyzdcxyzcoverage,xyzdcxyzgender,xyzdcxyzagegroup,xyzdcxyzeducation,xyzdcxyzdistribution,xyzdpxyzsi_pov_share_all,xyzdcxyzpppyear
ARG,2011,FALSE,INC,,Male,,,T60,.6011474,2017
ARG,2011,FALSE,INC,U,,,,B40,.3994218,2017
ARG,2011,FALSE,INC,U,,,,T60,.6005782,2017
ARG,2012,FALSE,INC,,,,No education,B40,.4688311,2017
ARG,2012,FALSE,INC,,,,No education,T60,.5311689,2017
ARG,2012,FALSE,INC,,,,Primary education,B40,.4255559,2017
ARG,2012,FALSE,INC,,,,Primary education,T60,.5744441,2017
ARG,2012,FALSE,INC,,,,Secondary education,B40,.3917407,2017
ARG,2012,FALSE,INC,,,,Secondary education,T60,.6082593,2017
ARG,2012,FALSE,INC,,,,Tertiary education,B40,.1619932,2017
ARG,2012,FALSE,INC,,,,Tertiary education,T60,.8380068,2017
ARG,2012,FALSE,INC,,,0-14,,B40,.5977067,2017
ARG,2012,FALSE,INC,,,0-14,,T60,.4022933,2017
ARG,2012,FALSE,INC,,,15-64,,B40,.375457,2017
ARG,2012,FALSE,INC,,,15-64,,T60,.624543,2017
ARG,2012,FALSE,INC,,,>65,,B40,.1136645,2017
ARG,2012,FALSE,INC,,,>65,,T60,.8863354,2017
ARG,2012,FALSE,INC,,Female,,,B40,.4015111,2017
ARG,2012,FALSE,INC,,Female,,,T60,.5984889,2017
ARG,2012,FALSE,INC,,Male,,,B40,.3978214,2017
ARG,2012,FALSE,INC,,Male,,,T60,.6021786,2017
ARG,2012,FALSE,INC,U,,,,B40,.3997234,2017
ARG,2012,FALSE,INC,U,,,,T60,.6002766,2017
ARG,2013,FALSE,INC,,,,No education,B40,.4439678,2017
ARG,2013,FALSE,INC,,,,No education,T60,.5560322,2017
ARG,2013,FALSE,INC,,,,Primary education,B40,.4244499,2017
ARG,2013,FALSE,INC,,,,Primary education,T60,.5755501,2017
ARG,2013,FALSE,INC,,,,Secondary education,B40,.3973034,2017
ARG,2013,FALSE,INC,,,,Secondary education,T60,.6026966,2017
ARG,2013,FALSE,INC,,,,Tertiary education,B40,.1568575,2017
ARG,2013,FALSE,INC,,,,Tertiary education,T60,.8431425,2017
ARG,2013,FALSE,INC,,,0-14,,B40,.6030993,2017
ARG,2013,FALSE,INC,,,0-14,,T60,.3969007,2017
ARG,2013,FALSE,INC,,,15-64,,B40,.3745147,2017
ARG,2013,FALSE,INC,,,15-64,,T60,.6254853,2017
ARG,2013,FALSE,INC,,,>65,,B40,.1222501,2017
ARG,2013,FALSE,INC,,,>65,,T60,.8777499,2017
ARG,2013,FALSE,INC,,Female,,,B40,.4012687,2017
ARG,2013,FALSE,INC,,Female,,,T60,.5987313,2017
ARG,2013,FALSE,INC,,Male,,,B40,.3977287,2017
ARG,2013,FALSE,INC,,Male,,,T60,.6022713,2017
ARG,2013,FALSE,INC,U,,,,B40,.3995565,2017
ARG,2013,FALSE,INC,U,,,,T60,.6004435,2017
ARG,2014,FALSE,INC,,,,No education,B40,.4312698,2017
ARG,2014,FALSE,INC,,,,No education,T60,.5687302,2017
ARG,2014,FALSE,INC,,,,Primary education,B40,.4178526,2017
ARG,2014,FALSE,INC,,,,Primary education,T60,.5821474,2017
ARG,2014,FALSE,INC,,,,Secondary education,B40,.4052081,2017
ARG,2014,FALSE,INC,,,,Secondary education,T60,.5947919,2017
ARG,2014,FALSE,INC,,,,Tertiary education,B40,.147787,2017
ARG,2014,FALSE,INC,,,,Tertiary education,T60,.852213,2017
ARG,2014,FALSE,INC,,,0-14,,B40,.6053934,2017
ARG,2014,FALSE,INC,,,0-14,,T60,.3946066,2017
ARG,2014,FALSE,INC,,,15-64,,B40,.3779509,2017
ARG,2014,FALSE,INC,,,15-64,,T60,.622049,2017
ARG,2014,FALSE,INC,,,>65,,B40,.1162762,2017
ARG,2014,FALSE,INC,,,>65,,T60,.8837238,2017
ARG,2014,FALSE,INC,,Female,,,B40,.3986498,2017
ARG,2014,FALSE,INC,,Female,,,T60,.6013502,2017
ARG,2014,FALSE,INC,,Male,,,B40,.4005218,2017
ARG,2014,FALSE,INC,,Male,,,T60,.5994782,2017
ARG,2014,FALSE,INC,U,,,,B40,.3995525,2017
ARG,2014,FALSE,INC,U,,,,T60,.6004475,2017
ARG,2016,FALSE,INC,,,,No education,B40,.4833594,2017
ARG,2016,FALSE,INC,,,,No education,T60,.5166407,2017
ARG,2016,FALSE,INC,,,,Primary education,B40,.4188599,2017
ARG,2016,FALSE,INC,,,,Primary education,T60,.58114,2017
ARG,2016,FALSE,INC,,,,Secondary education,B40,.4004542,2017
ARG,2016,FALSE,INC,,,,Secondary education,T60,.5995458,2017
ARG,2016,FALSE,INC,,,,Tertiary education,B40,.1567784,2017
ARG,2016,FALSE,INC,,,,Tertiary education,T60,.8432215,2017
ARG,2016,FALSE,INC,,,0-14,,B40,.6151353,2017
ARG,2016,FALSE,INC,,,0-14,,T60,.3848647,2017
ARG,2016,FALSE,INC,,,15-64,,B40,.382696,2017
ARG,2016,FALSE,INC,,,15-64,,T60,.617304,2017
ARG,2016,FALSE,INC,,,>65,,B40,.108404,2017
ARG,2016,FALSE,INC,,,>65,,T60,.891596,2017
ARG,2016,FALSE,INC,,Female,,,B40,.3993421,2017
ARG,2016,FALSE,INC,,Female,,,T60,.6006579,2017
ARG,2016,FALSE,INC,,Male,,,B40,.4001108,2017
ARG,2016,FALSE,INC,,Male,,,T60,.5998892,2017
ARG,2016,FALSE,INC,U,,,,B40,.3997112,2017
ARG,2016,FALSE,INC,U,,,,T60,.6002887,2017
ARG,2017,FALSE,INC,,,,No education,B40,.4804169,2017
ARG,2017,FALSE,INC,,,,No education,T60,.5195832,2017
ARG,2017,FALSE,INC,,,,Primary education,B40,.4137335,2017
ARG,2017,FALSE,INC,,,,Primary education,T60,.5862665,2017
ARG,2017,FALSE,INC,,,,Secondary education,B40,.408031,2017
ARG,2017,FALSE,INC,,,,Secondary education,T60,.591969,2017
ARG,2017,FALSE,INC,,,,Tertiary education,B40,.159267,2017
ARG,2017,FALSE,INC,,,,Tertiary education,T60,.8407329,2017
ARG,2017,FALSE,INC,,,0-14,,B40,.6175821,2017
ARG,2017,FALSE,INC,,,0-14,,T60,.3824179,2017
ARG,2017,FALSE,INC,,,15-64,,B40,.3820281,2017
ARG,2017,FALSE,INC,,,15-64,,T60,.617972,2017
ARG,2017,FALSE,INC,,,>65,,B40,.1173968,2017
ARG,2017,FALSE,INC,,,>65,,T60,.8826032,2017
ARG,2017,FALSE,INC,,Female,,,B40,.397085,2017
ARG,2017,FALSE,INC,,Female,,,T60,.602915,2017
