xyzDMxyzCountry,xyzDMxyzYearRange,xyzDMxyzInterpolation,xyzDCxyzWelfareType,xyzDCxyzDistribution,xyzDPxyzSI_SPR_PCAP_ZG,xyzDCxyzPPPYear,xyzDMxyzCoverage
BGR,2015-2019,FALSE,INC,b40,8.953938,2017,N
BGR,2015-2019,FALSE,INC,tot,9.249176,2017,N
BGR,2015-2019,FALSE,INC,m50,7.767657,2017,N
BGR,2015-2019,FALSE,INC,premium,-.2952385,2017,N
BGR,2015-2020,FALSE,INC,b40,10.13058,2017,N
BGR,2015-2020,FALSE,INC,tot,9.908486,2017,N
BGR,2015-2020,FALSE,INC,m50,8.092165,2017,N
BGR,2015-2020,FALSE,INC,premium,.2220964,2017,N
BGR,2016-2021,FALSE,INC,b40,6.6323,2017,N
BGR,2016-2021,FALSE,INC,tot,5.773489,2017,N
BGR,2016-2021,FALSE,INC,m50,5.747152,2017,N
BGR,2016-2021,FALSE,INC,premium,.8588109,2017,N
BLR,2006-2011,FALSE,CONS,b40,7.531762,2017,N
BLR,2006-2011,FALSE,CONS,tot,6.866446,2017,N
BLR,2006-2011,FALSE,CONS,m50,7.016417,2017,N
BLR,2006-2011,FALSE,CONS,premium,.6653161,2017,N
BLR,2009-2014,FALSE,CONS,b40,8.869231,2017,N
BLR,2009-2014,FALSE,CONS,tot,8.484476,2017,N
BLR,2009-2014,FALSE,CONS,m50,8.319114,2017,N
BLR,2009-2014,FALSE,CONS,premium,.3847551,2017,N
BLR,2011-2016,FALSE,CONS,b40,3.415511,2017,N
BLR,2011-2016,FALSE,CONS,tot,2.272184,2017,N
BLR,2011-2016,FALSE,CONS,m50,2.394776,2017,N
BLR,2011-2016,FALSE,CONS,premium,1.143327,2017,N
BLR,2012-2017,FALSE,CONS,b40,1.092341,2017,N
BLR,2012-2017,FALSE,CONS,tot,.5154794,2017,N
BLR,2012-2017,FALSE,CONS,m50,.5580843,2017,N
BLR,2012-2017,FALSE,CONS,premium,.5768613,2017,N
BLR,2013-2018,FALSE,CONS,b40,.7061098,2017,N
BLR,2013-2018,FALSE,CONS,tot,-.015099,2017,N
BLR,2013-2018,FALSE,CONS,m50,-.0169139,2017,N
BLR,2013-2018,FALSE,CONS,premium,.7212088,2017,N
BLR,2014-2019,FALSE,CONS,b40,1.112611,2017,N
BLR,2014-2019,FALSE,CONS,tot,.2254398,2017,N
BLR,2014-2019,FALSE,CONS,m50,.5878388,2017,N
BLR,2014-2019,FALSE,CONS,premium,.887171,2017,N
BLR,2015-2020,FALSE,CONS,b40,3.317271,2017,N
BLR,2015-2020,FALSE,CONS,tot,2.597894,2017,N
BLR,2015-2020,FALSE,CONS,m50,2.508377,2017,N
BLR,2015-2020,FALSE,CONS,premium,.7193763,2017,N
BOL,2006-2011,FALSE,INC,b40,12.50683,2017,N
BOL,2006-2011,FALSE,INC,tot,3.940168,2017,N
BOL,2006-2011,FALSE,INC,m50,9.219893,2017,N
BOL,2006-2011,FALSE,INC,premium,8.566666,2017,N
BOL,2007-2012,FALSE,INC,b40,9.869834,2017,N
BOL,2007-2012,FALSE,INC,tot,4.504451,2017,N
BOL,2007-2012,FALSE,INC,m50,8.841722,2017,N
BOL,2007-2012,FALSE,INC,premium,5.365383,2017,N
BOL,2009-2014,FALSE,INC,b40,6.024389,2017,N
BOL,2009-2014,FALSE,INC,tot,4.503084,2017,N
BOL,2009-2014,FALSE,INC,m50,4.489393,2017,N
BOL,2009-2014,FALSE,INC,premium,1.521305,2017,N
BOL,2011-2016,FALSE,INC,b40,.9391919,2017,N
BOL,2011-2016,FALSE,INC,tot,.8274732,2017,N
BOL,2011-2016,FALSE,INC,m50,1.419242,2017,N
BOL,2011-2016,FALSE,INC,premium,.1117187,2017,N
BOL,2012-2017,FALSE,INC,b40,1.922365,2017,N
BOL,2012-2017,FALSE,INC,tot,.5673263,2017,N
BOL,2012-2017,FALSE,INC,m50,1.126821,2017,N
BOL,2012-2017,FALSE,INC,premium,1.355039,2017,N
BOL,2013-2018,FALSE,INC,b40,1.414101,2017,N
BOL,2013-2018,FALSE,INC,tot,-1.721702,2017,N
BOL,2013-2018,FALSE,INC,m50,-.2244857,2017,N
BOL,2013-2018,FALSE,INC,premium,3.135803,2017,N
BOL,2014-2019,FALSE,INC,b40,3.090051,2017,N
BOL,2014-2019,FALSE,INC,tot,-.9443853,2017,N
BOL,2014-2019,FALSE,INC,m50,.7124159,2017,N
BOL,2014-2019,FALSE,INC,premium,4.034437,2017,N
BOL,2015-2020,FALSE,INC,b40,2.141334,2017,N
BOL,2015-2020,FALSE,INC,tot,-.2295492,2017,N
BOL,2015-2020,FALSE,INC,m50,.0496646,2017,N
BOL,2015-2020,FALSE,INC,premium,2.370883,2017,N
BOL,2016-2021,FALSE,INC,b40,4.42274,2017,N
BOL,2016-2021,FALSE,INC,tot,.6945907,2017,N
BOL,2016-2021,FALSE,INC,m50,1.556715,2017,N
BOL,2016-2021,FALSE,INC,premium,3.72815,2017,N
BRA,2006-2011,FALSE,INC,b40,5.993122,2017,N
BRA,2006-2011,FALSE,INC,tot,3.866723,2017,N
BRA,2006-2011,FALSE,INC,m50,5.678412,2017,N
BRA,2006-2011,FALSE,INC,premium,2.126399,2017,N
BRA,2012-2015,FALSE,INC,b40,2.797751,2017,N
BRA,2012-2015,FALSE,INC,tot,1.071178,2017,N
BRA,2012-2015,FALSE,INC,m50,1.986529,2017,N
BRA,2012-2015,FALSE,INC,premium,1.726573,2017,N
BRA,2013-2018,FALSE,INC,b40,-.744719,2017,N
BRA,2013-2018,FALSE,INC,tot,.4499009,2017,N
BRA,2013-2018,FALSE,INC,m50,.1466525,2017,N
BRA,2013-2018,FALSE,INC,premium,-1.19462,2017,N
BRA,2014-2019,FALSE,INC,b40,-1.417546,2017,N
BRA,2014-2019,FALSE,INC,tot,.1312037,2017,N
BRA,2014-2019,FALSE,INC,m50,.096705,2017,N
BRA,2014-2019,FALSE,INC,premium,-1.54875,2017,N
BRA,2016-2021,FALSE,INC,b40,-.8290324,2017,N
BRA,2016-2021,FALSE,INC,tot,-1.168447,2017,N
BRA,2016-2021,FALSE,INC,m50,-.9178155,2017,N
BRA,2016-2021,FALSE,INC,premium,.3394147,2017,N
BRA,2017-2022,FALSE,INC,b40,2.300634,2017,N
BRA,2017-2022,FALSE,INC,tot,.9933549,2017,N
BRA,2017-2022,FALSE,INC,m50,1.268768,2017,N
BRA,2017-2022,FALSE,INC,premium,1.307279,2017,N
BTN,2007-2012,FALSE,CONS,b40,6.528518,2017,N
BTN,2007-2012,FALSE,CONS,tot,6.468043,2017,N
BTN,2007-2012,FALSE,CONS,m50,6.027015,2017,N
BTN,2007-2012,FALSE,CONS,premium,.0604744,2017,N
BTN,2012-2017,FALSE,CONS,b40,1.626327,2017,N
BTN,2012-2017,FALSE,CONS,tot,1.674406,2017,N
BTN,2012-2017,FALSE,CONS,m50,2.266376,2017,N
BTN,2012-2017,FALSE,CONS,premium,-.0480794,2017,N
BWA,2002-2009,FALSE,CONS,b40,5.454749,2017,N
BWA,2002-2009,FALSE,CONS,tot,2.12601,2017,N
BWA,2002-2009,FALSE,CONS,m50,5.157415,2017,N
BWA,2002-2009,FALSE,CONS,premium,3.328738,2017,N
BWA,2009-2015,FALSE,CONS,b40,.4198023,2017,N
BWA,2009-2015,FALSE,CONS,tot,-3.302338,2017,N
BWA,2009-2015,FALSE,CONS,m50,-.9497363,2017,N
BWA,2009-2015,FALSE,CONS,premium,3.72214,2017,N
CAN,2010-2013,FALSE,INC,b40,.3262026,2017,N
CAN,2010-2013,FALSE,INC,tot,1.170153,2017,N
CAN,2010-2013,FALSE,INC,m50,1.651531,2017,N
CAN,2010-2013,FALSE,INC,premium,-.8439508,2017,N
CAN,2012-2017,FALSE,INC,b40,1.434731,2017,N
CAN,2012-2017,FALSE,INC,tot,1.174256,2017,N
CAN,2012-2017,FALSE,INC,m50,1.061641,2017,N
CAN,2012-2017,FALSE,INC,premium,.260475,2017,N
CAN,2013-2018,FALSE,INC,b40,1.840536,2017,N
CAN,2013-2018,FALSE,INC,tot,.8639861,2017,N
CAN,2013-2018,FALSE,INC,m50,.7882457,2017,N
CAN,2013-2018,FALSE,INC,premium,.9765496,2017,N
CAN,2014-2019,FALSE,INC,b40,1.609606,2017,N
